name	salary
Savard, David	$3,500,000
Xhekaj, Arber	$1,300,000
Barron, Justin	$1,150,000
Hutson, Lane	$950,000
Struble, Jayden	$867,500
Guhle, Kaiden	$863,333
Montembeault, Sam	$3,150,000
Primeau, Cayden	$890,000
Forsberg, Filip	$8,500,000
Stamkos, Steven	$8,000,000
Marchessault, Jonathan	$5,500,000
O'Reilly, Ryan	$4,500,000
Novak, Tommy	$3,500,000
Nyquist, Gustav	$3,185,000
Sissons, Colton	$2,857,143
Smith, Cole	$1,000,000
Svechkov, Fedor	$925,000
McCarron, Michael	$900,000
Roest, Austin	$845,000
Tomasino, Philip	$825,000
Jankowski, Mark	$800,000
Evangelista, Luke	$797,500
Parssinen, Juuso	$775,000
Josi, Roman	$9,059,000
Skjei, Brady	$7,000,000
Carrier, Alexandre	$3,750,000
Schenn, Luke	$2,750,000
Fabbro, Dante	$2,500,000
Lauzon, Jeremy	$2,000,000
Stastney, Spencer	$825,000
Saros, Juuse	$5,000,000
Wedgewood, Scott	$1,500,000
Meier, Timo	$8,800,000
Hughes, Jack	$8,000,000
Bratt, Jesper	$7,875,000
Hischier, Nico	$7,250,000
Palat, Ondrej	$6,000,000
Mercer, Dawson	$4,000,000
Haula, Erik	$3,150,000
Noesen, Stefan	$2,750,000
Tatar, Tomas	$1,800,000
Bastian, Nathan	$1,350,000
MacDermid, Kurtis	$1,150,000
Lazar, Curtis	$1,000,000
Filmon, Josh	$838,333
Cotter, Paul	$775,000
Beckman, Adam	$775,000
Hamilton, Dougie	$9,000,000
Pesce, Brett	$5,500,000
Dillon, Brenden	$4,000,000
Siegenthaler, Jonas	$3,400,000
Hughes, Luke	$925,000
Nemec, Simon	$918,333
Vilen, Topias	$836,667
Hatakka, Santeri	$775,000
Kovacevic, Johnathan	$766,667
Markstrom, Jacob	$4,125,000
Allen, Jake	$1,925,000
Barzal, Mathew	$9,150,000
Horvat, Bo	$8,500,000
Lee, Anders	$7,000,000
Nelson, Brock	$6,000,000
Palmieri, Kyle	$5,000,000
Pageau, Jean-Gabriel	$5,000,000
Duclair, Anthony	$3,500,000
Cizikas, Casey	$2,500,000
Wahlstrom, Oliver	$1,000,000
Tsyplakov, Maxim	$950,000
Holmstrom, Simon	$850,000
Gauthier, Julien	$787,500
MacLean, Kyle	$775,000
Pulock, Ryan	$6,150,000
Pelech, Adam	$5,750,000
Dobson, Noah	$4,000,000
Mayfield, Scott	$3,500,000
Romanov, Alexander	$2,500,000
Reilly, Mike	$1,250,000
Cholowski, Dennis	$775,000
Sorokin, Ilya	$8,250,000
Varlamov, Semyon	$2,750,000
Panarin, Artemi	$11,642,857
Zibanejad, Mika	$8,500,000
Kreider, Chris	$6,500,000
Trocheck, Vincent	$5,625,000
Chytil, Filip	$4,437,500
Smith, Reilly	$3,750,000
Kakko, Kaapo	$2,400,000
Lafrenière, Alexis	$2,325,000
Carrick, Sam	$1,000,000
Sykora, Adam	$806,667
Brodzinski, Jonny	$787,500
Blidh, Anton	$775,000
Leschyshyn, Jake	$766,667
Fox, Adam	$9,500,000
Trouba, Jacob	$8,000,000
Lindgren, Ryan	$4,500,000
Miller, K'Andre	$3,872,000
Schneider, Braden	$2,200,000
Jones, Zac	$812,500
Harpur, Ben	$787,500
Ruhwedel, Chad	$775,000
Robertson, Matthew	$775,000
Shesterkin, Igor	$5,666,667
Quick, Jonathan	$1,275,000
Stützle, Tim	$8,350,000
Tkachuk, Brady	$8,205,714
Norris, Josh	$7,950,000
Giroux, Claude	$6,500,000
Batherson, Drake	$4,975,000
Perron, David	$4,000,000
Pinto, Shane	$3,750,000
Amadio, Michael	$2,600,000
Greig, Ridly	$863,333
Gregor, Noah	$850,000
Cousins, Nick	$800,000
MacEwen, Zack	$775,000
Highmore, Matthew	$775,000
Gaudette, Adam	$775,000
Sanderson, Jake	$8,050,000
Chabot, Thomas	$8,000,000
Zub, Artem	$4,600,000
Jensen, Nick	$4,050,000
Hamonic, Travis	$1,100,000
Kleven, Tyler	$916,667
Bernard-Docker, Jacob	$805,000
Ullmark, Linus	$5,000,000
Forsberg, Anton	$2,750,000
Couturier, Sean	$7,750,000
Tippett, Owen	$6,200,000
Konecny, Travis	$5,500,000
Farabee, Joel	$5,000,000
Johansen, Ryan	$4,000,000
Laughton, Scott	$3,000,000
Cates, Noah	$2,625,000
Hathaway, Garnet	$2,375,000
Frost, Morgan	$2,100,000
Poehling, Ryan	$1,900,000
Deslauriers, Nicolas	$1,750,000
Brink, Bobby	$1,500,000
Luchanko, Jett	$975,000
Michkov, Matvei	$950,000
Foerster, Tyson	$863,333
Sanheim, Travis	$6,250,000
Ristolainen, Rasmus	$5,100,000
Seeler, Nick	$2,700,000
Drysdale, Jamie	$2,300,000
Zamula, Egor	$1,700,000
York, Cam	$1,600,000
Johnson, Erik	$1,000,000
Fedotov, Ivan	$3,275,000
Ersson, Samuel	$1,450,000
Crosby, Sidney	$8,700,000
Malkin, Evgeni	$6,100,000
Rust, Bryan	$5,125,000
Rakell, Rickard	$5,000,000
Bunting, Michael	$4,500,000
Hayes, Kevin	$3,571,429
Glass, Cody	$2,500,000
Eller, Lars	$2,450,000
Acciari, Noel	$2,000,000
Lizotte, Blake	$1,850,000
Beauvillier, Anthony	$1,250,000
McGroarty, Rutger	$950,000
O'Connor, Drew	$925,000
Puljujarvi, Jesse	$800,000
Ponomarev, Vasily	$795,000
Puustinen, Valtteri	$775,000
Karlsson, Erik	$10,000,000
Letang, Kris	$6,100,000
Graves, Ryan	$4,500,000
Pettersson, Marcus	$4,025,175
Grzelcyk, Matt	$2,750,000
St. Ivany, Jack	$775,000
Shea, Ryan	$775,000
Jarry, Tristan	$5,375,000
Nedeljkovic, Alex	$2,500,000
Blomqvist, Joel	$886,667
Couture, Logan	$8,000,000
Toffoli, Tyler	$6,000,000
Granlund, Mikael	$5,000,000
Wennberg, Alexander	$5,000,000
Goodrow, Barclay	$3,641,667
Kunin, Luke	$2,750,000
Sturm, Nico	$2,000,000
Kostin, Klim	$2,000,000
Grundstrom, Carl	$1,800,000
Zetterlund, Fabian	$1,450,000
Dellandrea, Ty	$1,300,000
Celebrini, Macklin	$975,000
Smith, Will	$950,000
Eklund, William	$863,333
Gushchin, Danil	$828,333
Smith, Givani	$800,000
Vlasic, Marc-Edouard	$7,000,000
Walman, Jake	$3,400,000
Ferraro, Mario	$3,250,000
Ceci, Cody	$3,250,000
Rutta, Jan	$2,750,000
Benning, Matt	$1,250,000
Thrun, Henry	$1,000,000
Vanecek, Vitek	$3,400,000
Blackwood, Mackenzie	$2,350,000
Beniers, Matty	$7,142,857
Stephenson, Chandler	$6,250,000
Schwartz, Jaden	$5,500,000
Burakovsky, Andre	$5,500,000
Bjorkstrand, Oliver	$5,400,000
Gourde, Yanni	$5,166,666
McCann, Jared	$5,000,000
Eberle, Jordan	$4,750,000
Tanev, Brandon	$3,500,000
Tolvanen, Eeli	$3,475,000
Wright, Shane	$886,667
Kartye, Tye	$859,167
Dunn, Vince	$7,350,000
Montour, Brandon	$7,142,857
Oleksiak, Jamie	$4,600,000
Larsson, Adam	$4,000,000
Borgen, Will	$2,700,000
Evans, Ryker	$897,500
Mahura, Josh	$775,000
Grubauer, Philipp	$5,900,000
Daccord, Joey	$1,200,000
Kyrou, Jordan	$8,125,000
Thomas, Robert	$8,125,000
Schenn, Brayden	$6,500,000
Buchnevich, Pavel	$5,800,000
Saad, Brandon	$4,500,000
